Thématique;Sous-thème;mot;noyau;genre;mot en chinois;phrases françaises;phrases chinoises;tag;
faire;vouloir;candidat, e;1;n.;???;Je ne suis pas candidat à cette élection.;????????????;candidat/élection;
faire;pour;cependant ;1; adv. / conj.;??;Cependant, il a dit la vérité.;??????????;cependant/vérité;
faire;travail;chômeur;1;m.;???;Il est chômeur depuis maintenant deux ans.;????????????;chômeur;
faire;travail;chômage;1;m.;??;Il a peur d'être au chômage.;???????;chômage;
faire;travail;collègue;1;n.;??;Que pensent ses collègues de son idée ?;????????????;collègue/idée;
faire;faire;comment;1;adv.;??  /  ??;Comment est-il arrivé à cette conclusion ?;?????????;comment/arriver/conclusion;
faire;faire;comporter;1;v.;??;Son travail comporte de grosses erreurs.;??????????????;travail/comporter/gross/erreur;
faire;faire;composition;1;f.;??;C'est une composition florale.;????????;composition/florale;
faire;faire;composer ;1;v.;??/??;Il a composé un discours afin de célébrer la victoire.;???????????????;composer/discours/célébrer/victoire;
faire;pour;conflit;1;m.;??;Elle n’aime pas les conflits ouverts.;??????????;conflit/ouvert;
faire;travail;congé ;1;m.;??;Il a pris tous ses congés.;????????;prendre/congé;
faire;faire;consacrer (se);1;v.;???;Tu te consacres maintenant à tes affaires.;?????????????;seconsacrer/affaire;
faire;pour;contraire ;1;v.;??;C’est tout le contraire de ce qu’on croit.;???????????;contraire/croire;
faire;aide;contribuer;1;v.;??,??;Il a beaucoup contribué à l’essor du pays. ;??????????????;contribuer/essor/pays;
faire;aide;contribution;1;f.;??/??;Leur contribution au projet fut décisive.;??????????????;contribution/projet/décisive;
faire;aide;coopération;1;f.;??;Cet accord de coopération a été bien conclu.;??????????;accord/coopération/conclure;
faire;aide;coopérer;1;v.;??;Il faut coopérer avec leur équipe.;???????????;coopérer/équipe;
faire;faire;coordination;1;f.;?? /  ??;Elle assure la coordination du projet.;?????????;assurer/coordination/projet;
faire;faire;coordonner ;1;v.;?? /  ??;Il faut coordonner nos actions pour réussir.;????????????;coordonner/action/réussir;
faire;faire;coordonnateur;1;m.;???;Son rôle de coordonnateur n’est pas facile.;???????????;rôle/coordonnateur/facile;
faire;faire;création;1;f.;??;Il aime créer de nouvelles activités.;??????????;aimer/créer/activité;
faire;faire;créateur, rice ;1;m./f. ;???;C'est un créateur d'entreprises.;?????????;créateur/entreprise;
faire;faire;créer;1;v.;??;C’est une chose magique de créer un nouveau programme.;???????????????;chose/magique/créer/programme;
faire;agriculture;cultiver;1;v.;??;Il cultive des céréales.;?????;cultiver/céréale;
faire;objectif;défi ;1;m.;??;C’est un grand défi de gagner cette bataille.;???????????;défi/gagner/bataille;
faire;objectif;destiner;1;v.;??;Il se destine à un emploi de fonctionnaire.;????????????;sedestiner/emploi/fonctionnaire;
faire;objectif;direct, e;1;adj.;???;Cette décision a créé dix emplois directs.;?????????????;décision/créer/emplois/direct;
faire;activité;dynamique;1;adj.;???;C’est quelqu'un de très dynamique.;?????????;dynamique;
faire;activité;dynamisme;1;m.;??;Son dynamisme est bien connu de tous.;??????????;dynamisme/connu;
faire;tâche;diriger;1;v.;??;Elle dirige son équipe avec intelligence.;???????????;diriger/équipe/intelligence;
faire;tâche;direction ;1;f.;??;La direction de ce projet n'est pas bonne.;???????;direction/projet/bonne;
faire;tâche;directeur, rice ;1;m./f.;?? / ??;Le directeur a visité l’usine.;????????;directeur/visiter/usine;
faire;aide;efforcer (s’);1;v.;??;Il faut s’efforcer de terminer.;???????;s'efforcer/terminer;
faire;travail;embaucher ;1;v.;??  /  ??;Tu as été embauché dans la même entreprise que ma sœur.;???????????????;embaucher/entreprise;
faire;aide;empêcher ;1;v.;??;Il l’a empêché de poursuivre.;?????????;empêcher/poursuivre;
faire;travail;encadrement;1;m.;??;L’encadrement a été entièrement pensé.;?????????;encadrement/penser;
faire;tâche;engagement;1;m.;??/??;Son engagement est sans limite.;??????;engagement/limite;
